,p,q,f,out
0,516,217,5,299
1,22,129,9,-107
2,383,431,5,-48
3,160,495,9,-335
4,916,342,7,574
5,974,671,10,303
6,666,864,3,1530
7,903,851,5,52
8,232,437,7,-205
9,345,74,3,419
10,770,558,5,212
11,754,166,8,588
12,875,362,5,513
13,954,452,7,502
14,221,145,7,76
15,922,685,10,237
16,954,149,2,1103
17,471,853,8,-382
18,914,819,7,95
19,498,269,5,229
20,723,96,5,627
21,797,895,6,-98
22,320,647,3,967
23,561,469,4,1030
24,738,507,9,231
25,392,576,10,-184
26,291,307,4,598
27,863,764,9,99
28,563,164,6,399
29,116,211,6,-95
30,462,258,4,720
31,300,395,9,-95
32,80,539,7,-459
33,243,48,7,195
34,160,354,10,-194
35,428,434,5,-6
36,578,847,1,1425
37,656,573,8,83
38,657,496,5,161
39,578,345,1,923
40,221,937,4,1158
41,5,133,1,138
42,461,791,10,-330
43,342,474,10,-132
44,215,680,2,895
45,541,787,7,-246
46,114,183,5,-69
47,721,479,7,242
48,796,123,10,673
49,776,222,5,554
50,175,901,5,-726
51,324,544,3,868
52,509,700,8,-191
53,390,154,3,544
54,320,764,3,1084
55,510,970,3,1480
56,905,840,7,65
57,113,284,6,-171
58,44,58,3,102
59,18,231,8,-213
60,4,774,3,778
61,64,441,8,-377
62,494,172,3,666
63,112,849,2,961
64,244,612,1,856
65,50,97,7,-47
66,848,883,3,1731
67,471,629,3,1100
68,359,529,4,888
69,188,166,2,354
70,978,981,1,1959
71,507,63,10,444
72,981,659,9,322
73,102,776,7,-674
74,343,4,4,347
75,911,505,6,406
76,106,902,4,1008
77,705,163,3,868
78,219,615,6,-396
79,857,440,8,417
80,572,554,7,18
81,458,846,8,-388
82,204,842,10,-638
83,527,750,7,-223
84,731,409,4,1140
85,195,870,2,1065
86,383,508,2,891
87,166,633,9,-467
88,717,200,7,517
89,123,4,6,119
90,608,550,6,58
91,420,557,10,-137
92,318,910,9,-592
93,940,263,4,1203
94,491,65,5,426
95,860,663,4,1523
96,968,630,8,338
97,338,66,8,272
98,733,150,8,583
99,61,424,5,-363
100,60,360,4,420
101,504,589,1,1093
102,813,186,7,627
103,313,180,5,133
104,637,346,5,291
105,842,471,10,371
106,457,76,3,533
107,588,627,7,-39
108,967,53,1,1020
109,112,376,10,-264
110,301,987,4,1288
111,130,306,3,436
112,772,905,9,-133
113,621,675,4,1296
114,484,959,8,-475
115,558,823,1,1381
116,502,429,1,931
117,816,533,9,283
118,538,989,8,-451
119,300,517,3,817
120,947,300,6,647
121,687,517,4,1204
122,259,491,4,750
123,966,367,3,1333
124,698,98,3,796
125,34,577,3,611
126,358,553,5,-195
127,271,944,5,-673
128,5,334,1,339
129,40,553,10,-513
130,882,840,8,42
131,4,929,8,-925
132,615,196,9,419
133,296,947,1,1243
134,996,131,5,865
135,809,518,3,1327
136,615,419,7,196
137,491,357,7,134
138,446,169,10,277
139,380,518,3,898
140,427,901,8,-474
141,506,162,9,344
142,888,503,2,1391
143,687,811,2,1498
144,987,403,6,584
145,176,62,7,114
146,930,965,2,1895
147,561,400,6,161
148,504,584,9,-80
149,3,913,9,-910
150,242,266,5,-24
151,792,342,1,1134
152,803,739,5,64
153,449,239,2,688
154,890,57,9,833
155,450,955,1,1405
156,746,764,8,-18
157,658,897,6,-239
158,804,982,6,-178
159,273,417,2,690
160,335,845,7,-510
161,937,666,3,1603
162,285,14,10,271
163,30,693,8,-663
164,391,237,7,154
165,650,491,10,159
166,899,87,2,986
167,181,706,8,-525
168,197,964,1,1161
169,5,328,3,333
170,96,442,2,538
171,281,564,10,-283
172,455,93,5,362
173,109,652,8,-543
174,492,421,7,71
175,231,774,3,1005
176,375,194,4,569
177,347,538,2,885
178,203,661,5,-458
179,179,773,9,-594
180,687,318,3,1005
181,923,723,5,200
182,864,691,6,173
183,543,761,10,-218
184,619,409,8,210
185,284,708,1,992
186,807,772,1,1579
187,995,731,9,264
188,548,29,5,519
189,266,977,2,1243
190,732,182,3,914
191,765,479,8,286
192,892,960,8,-68
193,147,558,5,-411
194,627,616,7,11
195,646,425,3,1071
196,437,512,8,-75
197,663,96,5,567
198,24,464,1,488
199,607,492,1,1099
200,259,490,9,-231
201,761,600,6,161
202,348,108,6,240
203,269,308,9,-39
204,963,827,6,136
205,469,297,1,766
206,449,702,5,-253
207,3,641,6,-638
208,941,249,5,692
209,25,757,4,782
210,737,637,8,100
211,413,712,3,1125
212,249,52,2,301
213,431,358,4,789
214,302,982,3,1284
215,589,654,8,-65
216,943,19,7,924
217,549,882,5,-333
218,576,619,7,-43
219,528,778,9,-250
220,956,918,8,38
221,338,910,3,1248
222,271,713,4,984
223,184,282,2,466
224,471,736,1,1207
225,7,79,6,-72
226,488,620,5,-132
227,313,902,10,-589
228,282,692,7,-410
229,956,151,1,1107
230,725,578,6,147
231,511,562,10,-51
232,657,111,2,768
233,930,229,1,1159
234,536,371,5,165
235,846,741,6,105
236,689,537,5,152
237,878,571,9,307
238,725,87,5,638
239,398,391,3,789
240,62,664,7,-602
241,721,935,4,1656
242,129,289,4,418
243,99,264,9,-165
244,837,227,6,610
245,124,155,9,-31
246,730,206,9,524
247,0,857,4,857
248,397,471,2,868
249,930,887,1,1817
250,353,295,9,58
251,205,705,10,-500
252,561,104,6,457
253,189,448,10,-259
254,500,735,4,1235
255,764,888,10,-124
256,445,415,5,30
257,692,782,3,1474
258,190,783,4,973
259,216,838,8,-622
260,155,999,5,-844
261,670,531,1,1201
262,544,785,7,-241
