,p,q,f
4789,0.9169169169169169,0.24424424424424424,1.0
9346,0.8738738738738738,0.23823823823823823,0.7777777777777778
13,0.3233233233233233,0.5835835835835835,0.8888888888888888
8049,0.45345345345345345,0.11811811811811812,0.4444444444444444
1204,0.5035035035035035,0.9479479479479479,0.7777777777777778
1833,0.36936936936936937,0.955955955955956,0.7777777777777778
5767,0.8008008008008008,0.3073073073073073,0.2222222222222222
8860,0.46346346346346345,0.32432432432432434,0.4444444444444444
3134,0.2602602602602603,0.7287287287287287,1.0
7722,0.9459459459459459,0.5305305305305306,0.7777777777777778
708,0.22022022022022023,0.9629629629629629,0.0
4531,0.9479479479479479,0.7057057057057057,0.4444444444444444
7384,0.7677677677677678,0.16716716716716717,0.2222222222222222
4586,0.7107107107107107,0.4974974974974975,1.0
2812,0.2182182182182182,0.08508508508508508,0.5555555555555556
4665,0.06606606606606606,0.1991991991991992,0.6666666666666666
3170,0.5805805805805806,0.2652652652652653,0.6666666666666666
8465,0.3863863863863864,0.4934934934934935,0.4444444444444444
2971,0.5155155155155156,0.8558558558558559,1.0
9219,0.5325325325325325,0.16716716716716717,0.1111111111111111
2349,0.975975975975976,0.7417417417417418,0.2222222222222222
4189,0.8068068068068068,0.15615615615615616,0.6666666666666666
1036,0.44644644644644643,0.23323323323323322,1.0
9631,0.9519519519519519,0.7257257257257257,0.8888888888888888
3466,0.7087087087087087,0.03803803803803804,0.8888888888888888
988,0.40540540540540543,0.9409409409409409,1.0
3490,0.3073073073073073,0.07507507507507508,0.2222222222222222
200,0.44344344344344344,0.34934934934934936,0.7777777777777778
6649,0.7197197197197197,0.5315315315315315,1.0
316,0.3353353353353353,0.3163163163163163,0.8888888888888888
574,0.8618618618618619,0.6976976976976977,0.7777777777777778
760,0.8378378378378378,0.3863863863863864,0.1111111111111111
5496,0.6236236236236237,0.06706706706706707,0.5555555555555556
3111,0.5695695695695696,0.5905905905905906,0.2222222222222222
4457,0.5575575575575575,0.057057057057057055,0.0
1138,0.5935935935935935,0.5505505505505506,0.5555555555555556
2610,0.6466466466466466,0.6416416416416416,0.5555555555555556
7166,0.33433433433433435,0.4864864864864865,0.3333333333333333
503,0.03403403403403404,0.9409409409409409,0.8888888888888888
5503,0.6196196196196196,0.5545545545545546,0.4444444444444444
9049,0.7387387387387387,0.03403403403403404,1.0
6423,0.13013013013013014,0.8308308308308309,0.2222222222222222
5079,0.5315315315315315,0.25125125125125125,0.2222222222222222
4282,0.8318318318318318,0.4794794794794795,0.1111111111111111
496,0.8328328328328328,0.022022022022022022,0.4444444444444444
7832,0.15415415415415415,0.3973973973973974,0.5555555555555556
4606,0.3183183183183183,0.6416416416416416,0.4444444444444444
8687,0.6766766766766766,0.7427427427427428,0.5555555555555556
6814,0.31931931931931934,0.3173173173173173,0.6666666666666666
5284,0.928928928928929,0.7407407407407407,0.1111111111111111
5976,0.3283283283283283,0.8098098098098098,0.7777777777777778
6289,0.8208208208208209,0.7887887887887888,0.0
1973,0.3023023023023023,0.2092092092092092,0.8888888888888888
2572,0.3233233233233233,0.6486486486486487,0.5555555555555556
2145,0.10510510510510511,0.950950950950951,1.0
5210,0.6616616616616616,0.6906906906906907,0.7777777777777778
6777,0.96996996996997,0.13713713713713713,0.1111111111111111
86,0.3073073073073073,0.5835835835835835,0.7777777777777778
5168,0.7897897897897898,0.8948948948948949,0.0
7088,0.4804804804804805,0.22922922922922923,0.0
131,0.7627627627627628,0.1021021021021021,0.3333333333333333
2408,0.8358358358358359,0.7737737737737738,0.1111111111111111
8306,0.3353353353353353,0.24624624624624625,0.6666666666666666
3556,0.7187187187187187,0.9369369369369369,0.4444444444444444
4421,0.9319319319319319,0.6206206206206206,0.7777777777777778
877,0.055055055055055056,0.0980980980980981,0.1111111111111111
1333,0.7097097097097097,0.5145145145145145,0.4444444444444444
2160,0.5975975975975976,0.4624624624624625,0.1111111111111111
116,0.4594594594594595,0.8778778778778779,1.0
2161,0.6736736736736737,0.18118118118118118,0.4444444444444444
245,0.9159159159159159,0.3813813813813814,0.0
7376,0.15715715715715717,0.34734734734734735,0.0
663,0.5535535535535535,0.7347347347347347,0.1111111111111111
7915,0.6386386386386387,0.3183183183183183,1.0
6005,0.6866866866866866,0.45145145145145144,0.1111111111111111
5441,0.6806806806806807,0.45645645645645644,0.1111111111111111
7856,0.972972972972973,0.7457457457457457,0.2222222222222222
