p,q,f,out
86,556,3,642
56,513,5,569
982,389,10,1371
620,425,4,1045
916,285,10,1201
521,665,10,1186
343,900,4,1243
78,702,3,780
708,240,2,948
189,141,10,330
71,598,9,669
609,125,7,734
665,350,4,1015
24,855,9,879
852,519,7,1371
485,73,4,558
736,647,7,1383
717,396,10,1113
492,864,7,1356
344,709,3,1053
835,113,4,948
608,974,1,1582
542,502,6,1044
881,276,9,1157
205,312,5,517
591,949,1,1540
705,322,8,1027
867,939,7,1806
831,844,5,1675
414,445,9,859
82,462,3,544
507,589,2,1096
793,835,2,1628
919,776,6,1695
972,638,1,1610
37,386,7,423
111,788,7,899
67,669,8,736
447,145,1,592
582,780,2,1362
124,621,8,745
83,392,5,475
241,942,10,1183
922,60,9,982
677,920,1,1597
534,849,4,1383
760,3,1,763
351,750,6,1101
739,573,4,1312
100,206,5,306
861,481,3,1342
401,482,8,883
958,131,8,1089
174,405,9,579
829,857,8,1686
866,122,6,988
943,268,1,1211
758,337,10,1095
960,2,8,962
883,126,6,1009
328,6,5,334
402,693,7,1095
577,856,3,1433
339,129,7,468
553,222,10,775
277,770,1,1047
593,669,8,1262
878,911,9,1789
997,381,1,1378
988,910,1,1898
318,528,6,846
373,603,7,976
91,247,9,338
602,488,1,1090
247,620,9,867
32,700,10,732
529,632,9,1161
365,928,3,1293
108,892,4,1000
188,84,1,272
234,575,4,809
34,204,4,238
682,775,8,1457
316,987,2,1303
449,305,8,754
72,655,1,727
961,2,10,963
767,158,1,925
593,917,5,1510
826,413,2,1239
754,489,5,1243
723,44,9,767
609,383,9,992
803,922,8,1725
320,766,9,1086
654,349,6,1003
365,794,5,1159
304,381,8,685
81,230,2,311
310,647,9,957
25,391,7,416
261,938,10,1199
712,92,7,804
435,112,9,547
455,121,7,576
417,234,6,651
540,47,3,587
886,801,2,1687
105,687,10,792
691,589,2,1280
324,369,1,693
547,610,4,1157
828,496,9,1324
968,623,9,1591
231,894,3,1125
625,546,4,1171
74,970,3,1044
187,344,9,531
284,854,5,1138
6,551,2,557
303,743,10,1046
485,85,2,570
756,246,4,1002
693,792,7,1485
856,491,10,1347
739,502,9,1241
33,370,1,403
833,491,9,1324
144,658,1,802
584,780,3,1364
433,509,3,942
292,189,7,481
282,7,2,289
359,524,7,883
46,351,2,397
340,918,4,1258
37,481,5,518
108,426,7,534
483,142,9,625
782,454,8,1236
894,878,3,1772
414,961,7,1375
438,162,9,600
289,33,4,322
328,942,8,1270
563,417,8,980
942,469,3,1411
399,483,9,882
802,311,1,1113
178,10,9,188
948,353,6,1301
339,771,8,1110
548,181,6,729
886,170,2,1056
149,488,1,637
901,776,4,1677
730,457,6,1187
483,929,9,1412
164,139,8,303
895,421,2,1316
815,104,10,919
361,300,7,661
385,424,10,809
399,995,7,1394
653,571,9,1224
949,606,6,1555
839,329,4,1168
138,260,7,398
677,50,6,727
943,561,8,1504
908,376,1,1284
698,421,7,1119
453,516,4,969
495,372,5,867
47,973,2,1020
50,439,8,489
273,369,9,642
380,18,9,398
142,219,7,361
613,247,9,860
73,355,6,428
367,729,1,1096
26,173,9,199
799,492,10,1291
216,777,4,993
763,235,9,998
788,937,2,1725
937,671,2,1608
296,733,5,1029
897,0,9,897
953,554,3,1507
680,498,8,1178
293,596,7,889
684,434,2,1118
793,225,1,1018
274,863,10,1137
824,478,10,1302
501,987,4,1488
495,964,10,1459
284,77,2,361
0,723,6,723
752,953,8,1705
988,780,9,1768
626,280,3,906
289,722,5,1011
255,630,7,885
406,79,6,485
244,14,10,258
639,920,3,1559
277,756,4,1033
557,770,6,1327
826,645,10,1471
76,274,2,350
644,606,10,1250
637,936,8,1573
872,192,3,1064
227,622,7,849
964,106,1,1070
99,891,4,990
760,756,1,1516
999,327,3,1326
160,880,7,1040
270,70,5,340
551,868,2,1419
148,283,4,431
935,18,1,953
673,32,9,705
685,731,2,1416
610,878,9,1488
148,106,9,254
331,176,4,507
808,439,7,1247
18,981,10,999
712,998,7,1710
367,703,6,1070
50,91,8,141
926,866,4,1792
609,22,6,631
768,651,9,1419
626,498,6,1124
663,69,10,732
507,642,7,1149
207,558,7,765
142,708,8,850
281,766,7,1047
442,755,7,1197
706,801,10,1507
769,237,5,1006
287,760,1,1047
767,415,1,1182
535,178,4,713
845,760,9,1605
