p,q,f,out
951,358,2,1309
485,185,7,670
170,442,6,612
72,423,3,495
861,554,5,1415
713,371,2,1084
743,990,10,1733
573,755,3,1328
789,162,8,951
317,294,7,611
273,53,3,326
628,794,3,1422
889,538,9,1427
316,630,9,946
582,264,4,846
187,967,9,1154
663,881,4,1544
979,543,10,1522
584,103,4,687
528,854,2,1382
44,650,9,694
220,78,7,298
126,446,2,572
160,80,1,240
395,405,1,800
428,284,6,712
153,282,4,435
780,583,9,1363
580,301,10,881
111,546,5,657
403,188,9,591
89,677,7,766
295,879,3,1174
509,454,6,963
31,776,6,807
80,921,5,1001
382,383,8,765
79,522,7,601
485,610,2,1095
280,677,4,957
968,523,6,1491
807,489,9,1296
423,117,9,540
802,945,3,1747
281,879,5,1160
312,208,1,520
750,296,7,1046
544,176,1,720
251,707,8,958
922,312,8,1234
171,724,4,895
390,697,3,1087
843,781,9,1624
339,678,7,1017
138,129,9,267
332,270,8,602
350,291,8,641
565,509,10,1074
950,896,3,1846
263,322,1,585
496,779,2,1275
473,840,5,1313
118,16,10,134
232,427,3,659
304,337,7,641
622,184,10,806
600,737,1,1337
644,904,8,1548
966,957,10,1923
765,570,5,1335
448,12,3,460
725,334,8,1059
81,817,10,898
639,852,5,1491
55,249,7,304
203,391,4,594
839,36,1,875
824,957,2,1781
609,610,9,1219
260,617,4,877
188,55,10,243
744,532,7,1276
141,242,5,383
360,104,7,464
236,759,6,995
343,376,2,719
896,458,10,1354
661,647,7,1308
24,0,6,24
39,155,5,194
446,170,7,616
195,527,7,722
254,582,2,836
124,594,4,718
446,75,2,521
644,716,4,1360
450,402,8,852
381,327,2,708
789,2,8,791
481,587,9,1068
10,628,1,638
400,761,9,1161
292,937,8,1229
922,198,10,1120
203,315,4,518
947,239,1,1186
658,920,1,1578
966,604,10,1570
823,649,9,1472
797,175,6,972
539,185,1,724
44,16,5,60
484,540,1,1024
700,850,2,1550
872,245,9,1117
81,914,6,995
68,504,4,572
664,287,6,951
73,218,1,291
835,167,5,1002
128,847,3,975
707,822,5,1529
728,384,8,1112
961,920,2,1881
33,92,9,125
954,238,6,1192
384,199,7,583
403,563,9,966
6,172,4,178
811,172,9,983
538,717,2,1255
218,235,3,453
157,63,4,220
716,144,4,860
777,704,6,1481
742,715,4,1457
617,508,10,1125
398,51,6,449
401,160,2,561
501,86,4,587
810,967,5,1777
883,278,2,1161
921,441,8,1362
702,534,10,1236
221,766,4,987
148,411,10,559
214,975,5,1189
372,446,10,818
432,157,3,589
51,513,4,564
804,48,9,852
462,519,1,981
553,392,4,945
914,126,5,1040
726,157,10,883
523,953,5,1476
945,913,5,1858
845,487,1,1332
476,933,10,1409
171,396,4,567
455,686,10,1141
125,558,4,683
146,554,7,700
679,101,1,780
683,806,2,1489
426,311,6,737
930,688,2,1618
813,996,10,1809
812,811,3,1623
610,514,2,1124
686,968,5,1654
870,187,5,1057
989,728,2,1717
651,313,10,964
581,962,3,1543
466,416,6,882
475,769,4,1244
174,264,3,438
129,945,2,1074
526,33,4,559
434,125,10,559
270,392,3,662
538,524,6,1062
29,641,1,670
599,815,8,1414
710,975,5,1685
117,807,1,924
372,31,6,403
820,425,2,1245
932,303,10,1235
13,667,5,680
620,115,9,735
105,511,3,616
225,64,4,289
340,943,7,1283
152,717,3,869
564,189,8,753
954,99,5,1053
577,694,6,1271
102,678,9,780
122,722,4,844
536,929,9,1465
645,459,8,1104
588,843,10,1431
942,483,8,1425
743,842,10,1585
389,932,2,1321
608,996,9,1604
749,267,3,1016
450,637,6,1087
727,127,6,854
503,347,9,850
76,963,7,1039
50,407,5,457
950,528,2,1478
750,26,6,776
520,507,9,1027
628,359,1,987
682,501,9,1183
283,421,10,704
687,215,3,902
747,869,2,1616
602,184,9,786
100,664,6,764
862,374,10,1236
13,558,10,571
200,912,1,1112
394,361,8,755
340,840,2,1180
986,562,6,1548
874,164,4,1038
749,313,7,1062
699,740,7,1439
827,893,5,1720
66,497,1,563
634,391,10,1025
61,192,10,253
208,794,6,1002
11,53,1,64
747,692,10,1439
841,782,3,1623
136,875,1,1011
403,474,4,877
306,846,7,1152
356,622,5,978
833,708,10,1541
997,476,6,1473
46,346,5,392
714,752,2,1466
737,928,8,1665
109,507,3,616
133,899,8,1032
998,29,9,1027
359,205,1,564
780,540,9,1320
869,800,3,1669
663,889,1,1552
305,34,6,339
129,723,9,852
366,359,10,725
738,169,1,907
210,380,3,590
421,179,9,600
888,1,6,889
302,68,2,370
338,137,10,475
271,561,10,832
23,770,10,793
578,354,10,932
913,677,7,1590
851,244,8,1095
759,172,10,931
254,257,8,511
211,61,9,272
752,867,4,1619
517,734,9,1251
840,406,7,1246
700,239,4,939
318,7,4,325
836,590,4,1426
313,834,7,1147
368,201,6,569
120,322,4,442
287,787,3,1074
264,395,10,659
598,853,1,1451
204,648,8,852
200,386,3,586
526,823,8,1349
552,962,8,1514
340,586,6,926
816,75,10,891
873,868,1,1741
74,186,1,260
328,433,9,761
401,250,1,651
866,38,7,904
866,901,4,1767
488,329,1,817
156,550,5,706
615,676,3,1291
852,143,2,995
215,129,10,344
827,809,6,1636
795,237,10,1032
107,346,7,453
284,576,10,860
43,929,8,972
550,151,4,701
728,672,6,1400
179,852,8,1031
954,874,5,1828
138,562,7,700
986,938,8,1924
783,517,8,1300
311,53,9,364
628,878,6,1506
992,490,5,1482
717,869,3,1586
17,534,5,551
44,373,8,417
261,639,6,900
310,317,2,627
597,318,2,915
819,355,1,1174
631,915,1,1546
425,810,5,1235
794,895,2,1689
0,360,6,360
868,424,8,1292
105,884,6,989
475,156,3,631
534,49,1,583
864,397,1,1261
264,118,3,382
955,850,8,1805
308,129,5,437
192,795,3,987
53,733,9,786
350,946,8,1296
435,342,7,777
978,995,4,1973
711,606,2,1317
188,900,10,1088
244,858,8,1102
713,643,4,1356
702,451,9,1153
817,766,10,1583
389,16,2,405
857,649,5,1506
409,518,3,927
432,945,2,1377
31,131,9,162
710,827,4,1537
925,585,4,1510
688,554,4,1242
274,975,7,1249
135,940,9,1075
417,578,10,995
884,380,9,1264
799,461,3,1260
15,95,9,110
468,672,7,1140
11,607,10,618
24,297,3,321
958,400,10,1358
277,451,1,728
990,934,8,1924
113,919,10,1032
885,843,7,1728
795,360,3,1155
402,547,7,949
264,404,2,668
506,832,10,1338
256,731,4,987
367,725,6,1092
285,759,8,1044
383,649,7,1032
813,673,2,1486
753,753,2,1506
896,664,8,1560
760,695,7,1455
868,625,1,1493
837,217,1,1054
372,951,9,1323
202,67,7,269
167,518,3,685
195,546,2,741
347,754,10,1101
850,817,7,1667
894,538,6,1432
216,403,3,619
284,365,10,649
80,725,6,805
792,18,7,810
619,129,3,748
885,295,4,1180
257,388,7,645
794,436,4,1230
469,126,5,595
594,908,2,1502
133,253,1,386
251,678,3,929
820,756,2,1576
413,12,8,425
765,310,8,1075
857,853,6,1710
310,843,2,1153
703,0,4,703
535,52,3,587
688,271,8,959
575,957,4,1532
817,956,5,1773
523,14,6,537
825,599,3,1424
488,248,2,736
969,947,10,1916
866,729,7,1595
8,410,9,418
817,552,6,1369
747,732,8,1479
82,104,9,186
677,358,9,1035
886,146,9,1032
109,386,2,495
23,479,4,502
741,239,1,980
776,235,4,1011
173,150,4,323
15,810,9,825
174,711,4,885
683,556,3,1239
952,419,2,1371
661,645,3,1306
185,466,2,651
961,524,3,1485
581,231,9,812
745,224,10,969
993,4,3,997
134,321,3,455
153,876,6,1029
887,607,10,1494
769,285,5,1054
59,237,8,296
225,712,5,937
927,754,4,1681
40,191,7,231
121,166,4,287
427,340,2,767
629,183,10,812
225,469,8,694
387,437,5,824
14,840,3,854
761,842,2,1603
179,897,4,1076
312,366,5,678
158,200,2,358
244,99,2,343
245,639,1,884
972,318,4,1290
867,450,7,1317
925,38,9,963
20,83,10,103
851,650,1,1501
950,761,6,1711
531,72,3,603
609,824,6,1433
229,384,1,613
239,175,7,414
141,383,6,524
25,781,6,806
52,245,7,297
318,900,10,1218
277,290,1,567
819,257,1,1076
966,754,2,1720
835,500,7,1335
619,122,5,741
199,196,9,395
985,193,4,1178
913,719,5,1632
473,809,6,1282
478,196,4,674
982,570,4,1552
385,553,3,938
237,392,8,629
575,27,4,602
450,484,1,934
713,478,10,1191
513,18,10,531
156,681,6,837
809,450,4,1259
162,267,8,429
408,254,6,662
63,112,6,175
700,175,8,875
692,814,2,1506
158,551,1,709
266,304,8,570
154,220,6,374
317,971,3,1288
434,773,10,1207
159,664,6,823
181,30,2,211
934,88,2,1022
543,152,7,695
33,739,6,772
437,275,3,712
699,449,1,1148
534,884,6,1418
452,114,10,566
46,58,8,104
876,211,2,1087
811,797,4,1608
609,52,10,661
520,397,2,917
859,94,10,953
630,442,1,1072
108,143,10,251
571,371,8,942
481,483,6,964
546,533,7,1079
518,582,5,1100
270,597,5,867
539,101,3,640
678,455,3,1133
887,109,6,996
217,760,10,977
586,408,8,994
844,324,1,1168
842,129,10,971
962,10,9,972
526,120,8,646
591,874,10,1465
456,245,10,701
996,710,4,1706
707,208,3,915
12,840,7,852
943,912,6,1855
999,769,9,1768
345,105,8,450
642,49,10,691
522,769,8,1291
144,776,3,920
687,198,6,885
621,58,4,679
316,476,6,792
286,427,2,713
539,939,7,1478
420,139,3,559
222,803,5,1025
746,90,7,836
810,999,10,1809
400,903,2,1303
760,308,2,1068
990,681,8,1671
907,769,5,1676
179,185,8,364
432,977,5,1409
339,700,3,1039
610,16,5,626
15,67,5,82
13,184,9,197
402,418,9,820
651,928,7,1579
929,135,2,1064
948,31,8,979
613,533,5,1146
128,215,7,343
720,552,6,1272
550,472,7,1022
626,237,8,863
196,928,5,1124
86,994,10,1080
164,518,9,682
832,823,9,1655
929,712,9,1641
515,684,7,1199
597,102,2,699
237,708,2,945
541,453,3,994
851,352,1,1203
135,304,1,439
110,98,9,208
845,116,7,961
926,735,3,1661
826,72,2,898
800,378,7,1178
600,789,1,1389
385,139,9,524
409,416,7,825
774,936,4,1710
773,874,7,1647
183,501,2,684
761,497,5,1258
271,929,3,1200
369,462,7,831
176,289,4,465
986,652,3,1638
634,938,3,1572
135,673,10,808
24,938,5,962
1,606,6,607
967,937,9,1904
509,531,3,1040
899,76,10,975
176,928,2,1104
88,463,7,551
652,364,3,1016
633,459,10,1092
399,95,1,494
959,260,5,1219
970,990,1,1960
12,501,6,513
400,796,2,1196
978,577,4,1555
265,405,3,670
508,740,9,1248
756,878,1,1634
998,834,6,1832
410,333,9,743
720,881,4,1601
279,590,8,869
233,673,9,906
780,268,3,1048
637,22,9,659
98,522,4,620
646,138,2,784
420,88,10,508
948,382,1,1330
214,447,5,661
850,655,3,1505
510,867,6,1377
337,636,8,973
672,84,10,756
370,506,1,876
935,168,3,1103
490,807,8,1297
305,121,3,426
592,846,9,1438
651,178,10,829
833,480,8,1313
220,306,8,526
880,883,3,1763
754,786,7,1540
527,114,2,641
451,630,10,1081
857,908,5,1765
231,81,8,312
919,91,4,1010
840,147,3,987
502,224,4,726
866,582,3,1448
908,522,5,1430
346,151,6,497
752,572,9,1324
954,117,2,1071
698,697,8,1395
26,818,5,844
377,197,9,574
568,497,9,1065
644,802,6,1446
0,817,5,817
535,341,3,876
754,190,9,944
155,931,2,1086
103,286,4,389
350,800,2,1150
464,989,7,1453
959,690,6,1649
776,891,7,1667
634,605,6,1239
3,900,8,903
541,864,9,1405
451,514,6,965
743,778,5,1521
214,681,9,895
924,129,5,1053
402,368,2,770
281,769,8,1050
982,146,6,1128
27,221,6,248
135,121,8,256
292,344,6,636
736,851,9,1587
331,457,10,788
539,345,1,884
773,774,4,1547
213,298,7,511
365,316,5,681
454,135,6,589
217,280,7,497
290,52,4,342
349,825,3,1174
420,547,1,967
369,595,6,964
112,33,2,145
284,462,4,746
961,121,4,1082
315,242,1,557
744,627,1,1371
632,753,3,1385
131,81,7,212
998,713,6,1711
753,278,3,1031
787,948,2,1735
152,215,10,367
675,744,2,1419
778,34,3,812
276,476,7,752
899,161,6,1060
17,670,2,687
176,808,2,984
894,977,2,1871
724,810,7,1534
439,14,4,453
634,858,4,1492
914,674,8,1588
995,494,2,1489
76,587,7,663
667,675,4,1342
26,9,3,35
349,367,9,716
613,555,2,1168
488,121,3,609
737,122,1,859
448,527,9,975
476,811,2,1287
740,707,2,1447
137,695,2,832
302,229,5,531
844,917,6,1761
409,905,8,1314
42,36,3,78
798,940,2,1738
127,903,10,1030
982,967,7,1949
215,115,3,330
306,492,1,798
677,36,10,713
72,794,3,866
333,529,9,862
272,889,1,1161
236,200,3,436
441,495,2,936
998,226,6,1224
161,947,3,1108
470,402,10,872
680,511,9,1191
477,602,5,1079
927,586,9,1513
82,593,10,675
815,146,2,961
959,383,2,1342
13,513,7,526
910,768,2,1678
300,262,5,562
478,791,3,1269
736,83,8,819
73,639,10,712
265,430,2,695
43,754,1,797
606,955,9,1561
442,680,10,1122
117,315,6,432
618,163,2,781
364,316,3,680
83,397,7,480
544,445,4,989
47,582,1,629
875,891,7,1766
893,411,9,1304
193,39,2,232
299,364,2,663
461,455,1,916
317,873,10,1190
287,699,1,986
757,497,9,1254
507,674,1,1181
655,660,6,1315
733,724,6,1457
560,371,4,931
778,627,3,1405
239,570,10,809
974,802,7,1776
64,210,3,274
404,418,2,822
996,987,6,1983
832,573,3,1405
510,788,5,1298
314,476,9,790
