,p,q,f,out
4789,0.9169169169169169,0.24424424424424424,1.0,0.5783375314861461
9346,0.8738738738738738,0.23823823823823823,0.7777777777777778,0.5536523929471032
13,0.3233233233233233,0.5835835835835835,0.8888888888888888,0.4503778337531486
8049,0.45345345345345345,0.11811811811811812,0.4444444444444444,0.28161209068010074
1204,0.5035035035035035,0.9479479479479479,0.7777777777777778,0.7244332493702771
1833,0.36936936936936937,0.955955955955956,0.7777777777777778,0.6609571788413098
5767,0.8008008008008008,0.3073073073073073,0.2222222222222222,0.5516372795969773
8860,0.46346346346346345,0.32432432432432434,0.4444444444444444,0.3904282115869018
3134,0.2602602602602603,0.7287287287287287,1.0,0.49168765743073045
7722,0.9459459459459459,0.5305305305305306,0.7777777777777778,0.7370277078085642
708,0.22022022022022023,0.9629629629629629,0.0,0.5894206549118388
4531,0.9479479479479479,0.7057057057057057,0.4444444444444444,0.8261964735516373
7384,0.7677677677677678,0.16716716716716717,0.2222222222222222,0.46448362720403025
4586,0.7107107107107107,0.4974974974974975,1.0,0.6020151133501259
2812,0.2182182182182182,0.08508508508508508,0.5555555555555556,0.14659949622166246
4665,0.06606606606606606,0.1991991991991992,0.6666666666666666,0.127455919395466
3170,0.5805805805805806,0.2652652652652653,0.6666666666666666,0.419647355163728
8465,0.3863863863863864,0.4934934934934935,0.4444444444444444,0.4367758186397985
2971,0.5155155155155156,0.8558558558558559,1.0,0.6841309823677582
9219,0.5325325325325325,0.16716716716716717,0.1111111111111111,0.34609571788413096
2349,0.975975975975976,0.7417417417417418,0.2222222222222222,0.8584382871536524
4189,0.8068068068068068,0.15615615615615616,0.6666666666666666,0.47858942065491183
1036,0.44644644644644643,0.23323323323323322,1.0,0.33602015113350125
9631,0.9519519519519519,0.7257257257257257,0.8888888888888888,0.8382871536523929
3466,0.7087087087087087,0.03803803803803804,0.8888888888888888,0.36977329974811085
988,0.40540540540540543,0.9409409409409409,1.0,0.671536523929471
3490,0.3073073073073073,0.07507507507507508,0.2222222222222222,0.18639798488664988
200,0.44344344344344344,0.34934934934934936,0.7777777777777778,0.3929471032745592
6649,0.7197197197197197,0.5315315315315315,1.0,0.6236775818639798
316,0.3353353353353353,0.3163163163163163,0.8888888888888888,0.32191435768261967
574,0.8618618618618619,0.6976976976976977,0.7777777777777778,0.7788413098236776
760,0.8378378378378378,0.3863863863863864,0.1111111111111111,0.6100755667506297
5496,0.6236236236236237,0.06706706706706707,0.5555555555555556,0.3415617128463476
3111,0.5695695695695696,0.5905905905905906,0.2222222222222222,0.5778337531486146
4457,0.5575575575575575,0.057057057057057055,0.0,0.3032745591939547
1138,0.5935935935935935,0.5505505505505506,0.5555555555555556,0.5697732997481109
2610,0.6466466466466466,0.6416416416416416,0.5555555555555556,0.6423173803526449
7166,0.33433433433433435,0.4864864864864865,0.3333333333333333,0.4070528967254408
503,0.03403403403403404,0.9409409409409409,0.8888888888888888,0.48463476070528966
5503,0.6196196196196196,0.5545545545545546,0.4444444444444444,0.5848866498740554
9049,0.7387387387387387,0.03403403403403404,1.0,0.38287153652392947
6423,0.13013013013013014,0.8308308308308309,0.2222222222222222,0.47758186397984886
5079,0.5315315315315315,0.25125125125125125,0.2222222222222222,0.3879093198992443
4282,0.8318318318318318,0.4794794794794795,0.1111111111111111,0.653904282115869
496,0.8328328328328328,0.022022022022022022,0.4444444444444444,0.4241813602015113
7832,0.15415415415415415,0.3973973973973974,0.5555555555555556,0.27153652392947103
4606,0.3183183183183183,0.6416416416416416,0.4444444444444444,0.4770780856423174
8687,0.6766766766766766,0.7427427427427428,0.5555555555555556,0.7083123425692696
6814,0.31931931931931934,0.3173173173173173,0.6666666666666666,0.31435768261964736
5284,0.928928928928929,0.7407407407407407,0.1111111111111111,0.834256926952141
5976,0.3283283283283283,0.8098098098098098,0.7777777777777778,0.5667506297229219
6289,0.8208208208208209,0.7887887887887888,0.0,0.8040302267002519
1973,0.3023023023023023,0.2092092092092092,0.8888888888888888,0.25138539042821156
2572,0.3233233233233233,0.6486486486486487,0.5555555555555556,0.48312342569269523
2145,0.10510510510510511,0.950950950950951,1.0,0.52544080604534
5210,0.6616616616616616,0.6906906906906907,0.7777777777777778,0.6745591939546599
6777,0.96996996996997,0.13713713713713713,0.1111111111111111,0.5511335012594458
86,0.3073073073073073,0.5835835835835835,0.7777777777777778,0.44231738035264484
5168,0.7897897897897898,0.8948948948948949,0.0,0.8418136020151133
7088,0.4804804804804805,0.22922922922922923,0.0,0.35113350125944587
131,0.7627627627627628,0.1021021021021021,0.3333333333333333,0.4292191435768262
2408,0.8358358358358359,0.7737737737737738,0.1111111111111111,0.8040302267002519
8306,0.3353353353353353,0.24624624624624625,0.6666666666666666,0.28664987405541564
3556,0.7187187187187187,0.9369369369369369,0.4444444444444444,0.8272040302267003
4421,0.9319319319319319,0.6206206206206206,0.7777777777777778,0.7753148614609572
877,0.055055055055055056,0.0980980980980981,0.1111111111111111,0.07103274559193955
1333,0.7097097097097097,0.5145145145145145,0.4444444444444444,0.6100755667506297
2160,0.5975975975975976,0.4624624624624625,0.1111111111111111,0.527455919395466
116,0.4594594594594595,0.8778778778778779,1.0,0.6670025188916877
2161,0.6736736736736737,0.18118118118118118,0.4444444444444444,0.4241813602015113
245,0.9159159159159159,0.3813813813813814,0.0,0.6468513853904282
7376,0.15715715715715717,0.34734734734734735,0.0,0.2478589420654912
663,0.5535535535535535,0.7347347347347347,0.1111111111111111,0.6423173803526449
7915,0.6386386386386387,0.3183183183183183,1.0,0.4755667506297229
6005,0.6866866866866866,0.45145145145145144,0.1111111111111111,0.5667506297229219
5441,0.6806806806806807,0.45645645645645644,0.1111111111111111,0.5662468513853904
7856,0.972972972972973,0.7457457457457457,0.2222222222222222,0.8589420654911839
8215,0.9719719719719719,0.4264264264264264,0.1111111111111111,0.6977329974811083
6013,0.2672672672672673,0.5525525525525525,0.2222222222222222,0.4065491183879093
8468,0.08108108108108109,0.26926926926926925,0.6666666666666666,0.17027707808564232
866,0.5235235235235235,0.15215215215215216,0.5555555555555556,0.3340050377833753
8144,0.7587587587587588,0.23923923923923923,0.1111111111111111,0.49622166246851385
4234,0.6586586586586587,0.963963963963964,0.5555555555555556,0.8105793450881612
6017,0.5935935935935935,0.5475475475475475,0.0,0.5682619647355164
7813,0.8178178178178178,0.5755755755755756,0.2222222222222222,0.6952141057934509
6282,0.982982982982983,0.91991991991992,0.4444444444444444,0.9516372795969773
4967,0.955955955955956,0.7287287287287287,0.7777777777777778,0.8418136020151133
9722,0.43743743743743746,0.8968968968968969,0.5555555555555556,0.6654911838790932
8419,0.23223223223223224,0.7457457457457457,0.5555555555555556,0.48614609571788414
8520,0.987987987987988,0.8358358358358359,0.1111111111111111,0.9118387909319899
5373,0.6606606606606606,0.7477477477477478,0.8888888888888888,0.7027707808564232
2415,0.25225225225225223,0.2042042042042042,0.4444444444444444,0.22367758186397985
1202,0.8528528528528528,0.5495495495495496,0.8888888888888888,0.6997481108312342
2373,0.28928928928928926,0.5655655655655656,0.4444444444444444,0.4241813602015113
9305,0.6696696696696697,0.3053053053053053,0.5555555555555556,0.48463476070528966
1902,0.991991991991992,0.4774774774774775,0.8888888888888888,0.7335012594458439
3797,0.022022022022022022,0.23323323323323322,1.0,0.12241813602015113
3047,0.6956956956956957,0.0,0.0,0.344080604534005
3876,0.06006006006006006,0.7997997997997998,0.3333333333333333,0.42670025188916877
474,0.6766766766766766,0.44144144144144143,0.8888888888888888,0.5566750629722922
3372,0.41541541541541543,0.3883883883883884,0.3333333333333333,0.39848866498740554
2886,0.7627627627627628,0.14914914914914915,0.0,0.45289672544080606
5483,0.4124124124124124,0.7917917917917918,0.0,0.6
9302,0.9629629629629629,0.5005005005005005,0.5555555555555556,0.7304785894206549
2120,0.6526526526526526,0.2822822822822823,0.1111111111111111,0.46448362720403025
4368,0.43543543543543545,0.4024024024024024,0.8888888888888888,0.4156171284634761
8724,0.48148148148148145,0.5255255255255256,0.2222222222222222,0.5007556675062972
6328,0.09109109109109109,0.45045045045045046,0.2222222222222222,0.2664987405541562
3993,0.44744744744744747,0.2672672672672673,0.4444444444444444,0.35365239294710327
4041,0.7777777777777778,0.09509509509509509,0.4444444444444444,0.4332493702770781
4128,0.6036036036036037,0.9479479479479479,0.7777777777777778,0.7748110831234257
3643,0.7647647647647647,0.5585585585585585,0.8888888888888888,0.6599496221662469
9196,0.07007007007007007,0.17417417417417416,0.1111111111111111,0.11687657430730479
9984,0.8588588588588588,0.4894894894894895,0.0,0.672544080604534
7673,0.8528528528528528,0.955955955955956,0.3333333333333333,0.9042821158690176
303,0.3923923923923924,0.8888888888888888,0.6666666666666666,0.6387909319899244
2187,0.5795795795795796,0.025025025025025027,0.0,0.2982367758186398
8887,0.6966966966966966,0.7927927927927928,0.4444444444444444,0.7435768261964736
8972,0.9309309309309309,0.5245245245245245,0.0,0.726448362720403
7045,0.23123123123123124,0.3023023023023023,0.8888888888888888,0.2624685138539043
8147,0.23823823823823823,0.4934934934934935,0.0,0.36221662468513854
439,0.3033033033033033,0.008008008008008008,0.6666666666666666,0.15062972292191434
8658,0.40540540540540543,0.36736736736736736,0.6666666666666666,0.38287153652392947
8971,0.7147147147147147,0.8758758758758759,0.2222222222222222,0.7944584382871537
3825,0.2132132132132132,0.36536536536536535,0.5555555555555556,0.28513853904282116
6719,0.5955955955955956,0.5765765765765766,0.2222222222222222,0.5838790931989924
7588,0.6046046046046046,0.6416416416416416,1.0,0.6211586901763224
5295,0.35935935935935936,0.15815815815815815,0.4444444444444444,0.25440806045340053
5272,0.32732732732732733,0.5415415415415415,0.7777777777777778,0.43123425692695216
1991,0.44244244244244246,0.6736736736736737,0.0,0.5556675062972293
4123,0.13813813813813813,0.26126126126126126,0.7777777777777778,0.19496221662468513
5046,0.31431431431431434,0.3883883883883884,0.7777777777777778,0.34760705289672544
9964,0.4044044044044044,0.6276276276276276,0.2222222222222222,0.5133501259445844
5207,0.2702702702702703,0.46346346346346345,1.0,0.3632241813602015
7496,0.2782782782782783,0.8758758758758759,0.3333333333333333,0.5748110831234257
190,0.5045045045045045,0.6506506506506506,0.3333333333333333,0.5753148614609572
5967,0.3913913913913914,0.9009009009009009,0.5555555555555556,0.6443324937027708
7625,0.6226226226226226,0.012012012012012012,0.2222222222222222,0.3133501259445844
3045,0.9769769769769769,0.08508508508508508,0.1111111111111111,0.528463476070529
2916,0.984984984984985,0.3533533533533533,1.0,0.6675062972292192
553,0.5985985985985987,0.02902902902902903,0.0,0.30982367758186397
1229,0.8558558558558559,0.3883883883883884,1.0,0.6201511335012595
2770,0.17117117117117117,0.3843843843843844,0.1111111111111111,0.27355163727959697
7311,0.07907907907907907,0.7337337337337337,0.4444444444444444,0.40302267002518893
