p,q,f,out
663,198,5,861
643,218,1,861
124,292,4,416
540,959,3,1499
632,531,10,1163
675,741,5,1416
218,454,2,672
255,708,4,963
996,37,2,1033
804,471,2,1275
371,908,1,1279
898,297,3,1195
97,447,1,544
323,583,9,906
164,537,3,701
608,768,6,1376
867,355,2,1222
386,451,4,837
314,988,4,1302
742,599,6,1341
967,789,10,1756
487,594,4,1081
354,560,5,914
155,589,4,744
437,941,4,1378
134,735,9,869
855,722,3,1577
642,394,1,1036
243,835,3,1078
257,705,2,962
577,824,1,1401
300,697,8,997
156,108,7,264
686,774,1,1460
389,637,9,1026
482,190,9,672
153,123,1,276
267,849,10,1116
266,436,5,702
658,122,1,780
565,921,6,1486
868,632,8,1500
458,335,8,793
368,383,6,751
130,749,2,879
992,394,1,1386
207,788,8,995
672,975,3,1647
770,370,4,1140
476,616,6,1092
222,685,9,907
16,44,8,60
295,136,2,431
762,596,10,1358
793,238,6,1031
360,737,2,1097
742,16,1,758
691,995,10,1686
241,30,5,271
132,165,4,297
140,880,1,1020
932,930,2,1862
746,981,4,1727
636,591,6,1227
939,954,7,1893
281,867,8,1148
688,254,9,942
882,150,7,1032
357,134,10,491
920,430,3,1350
260,36,3,296
561,604,8,1165
508,327,8,835
64,394,8,458
648,0,10,648
258,794,1,1052
104,217,7,321
562,192,9,754
771,620,3,1391
991,172,5,1163
624,17,4,641
686,752,3,1438
780,424,3,1204
631,545,6,1176
813,713,5,1526
593,481,9,1074
307,583,8,890
358,268,2,626
369,136,2,505
533,668,6,1201
35,930,3,965
734,787,2,1521
244,741,8,985
168,813,8,981
916,810,8,1726
912,263,6,1175
511,844,8,1355
877,82,9,959
420,749,10,1169
754,368,2,1122
315,652,3,967
728,393,5,1121
372,604,5,976
147,894,6,1041
809,423,3,1232
948,98,3,1046
106,572,8,678
748,416,7,1164
794,194,1,988
12,498,7,510
641,950,4,1591
400,290,1,690
214,434,6,648
417,123,7,540
207,826,7,1033
402,513,1,915
459,877,10,1336
707,216,8,923
156,46,1,202
390,187,5,577
116,510,2,626
642,50,3,692
599,807,1,1406
470,733,6,1203
663,643,3,1306
962,352,3,1314
479,360,4,839
920,384,6,1304
708,895,7,1603
963,129,2,1092
163,439,7,602
762,102,4,864
264,958,2,1222
743,632,10,1375
26,664,4,690
913,404,6,1317
423,626,9,1049
869,151,7,1020
787,16,7,803
444,790,5,1234
358,151,2,509
33,178,6,211
655,585,7,1240
121,79,8,200
134,973,6,1107
187,716,3,903
897,277,7,1174
14,835,2,849
722,692,7,1414
80,597,10,677
913,182,5,1095
904,27,10,931
83,145,3,228
747,658,2,1405
930,342,5,1272
489,790,4,1279
421,891,5,1312
867,785,9,1652
678,211,3,889
235,881,7,1116
736,170,3,906
124,356,3,480
949,949,4,1898
991,199,7,1190
394,401,1,795
723,211,3,934
574,56,7,630
535,97,4,632
802,627,4,1429
708,173,6,881
727,468,4,1195
97,172,1,269
816,282,3,1098
814,594,3,1408
904,624,5,1528
10,830,8,840
459,901,1,1360
546,894,9,1440
108,481,5,589
819,887,2,1706
264,484,7,748
343,502,5,845
238,802,1,1040
489,458,8,947
430,929,1,1359
456,318,10,774
856,635,5,1491
408,181,10,589
917,86,7,1003
158,853,6,1011
504,650,4,1154
327,441,6,768
771,529,7,1300
793,753,3,1546
613,448,4,1061
902,520,1,1422
832,272,2,1104
844,279,5,1123
718,57,7,775
240,327,3,567
443,349,8,792
464,598,2,1062
129,853,9,982
716,461,4,1177
747,317,10,1064
89,526,2,615
149,884,8,1033
278,984,3,1262
982,105,5,1087
909,225,5,1134
825,967,10,1792
529,438,5,967
460,593,4,1053
377,558,9,935
284,261,9,545
900,960,5,1860
535,819,10,1354
98,620,1,718
857,39,3,896
200,640,6,840
173,625,2,798
721,917,8,1638
667,268,6,935
37,82,9,119
824,167,9,991
20,975,6,995
468,670,10,1138
231,934,6,1165
906,414,8,1320
49,41,4,90
908,398,4,1306
681,862,2,1543
549,127,6,676
466,245,5,711
257,659,6,916
771,849,9,1620
748,7,1,755
31,685,6,716
693,950,4,1643
193,351,10,544
33,557,5,590
836,922,5,1758
10,345,4,355
65,732,5,797
94,412,3,506
915,381,1,1296
871,376,1,1247
196,672,8,868
236,29,3,265
649,840,3,1489
663,492,5,1155
802,717,3,1519
394,344,2,738
