,p,q,f,out
0,749,252,10,497
1,230,955,6,-725
2,651,675,7,-24
3,499,531,7,-32
4,133,347,6,-214
5,849,562,8,287
6,662,256,9,406
7,859,772,5,87
8,132,193,5,-61
9,32,637,8,-605
10,473,405,8,68
11,151,168,7,-17
12,902,435,4,1337
13,582,541,6,41
14,949,242,1,1191
15,342,718,1,1060
16,726,692,8,34
17,817,899,9,-82
18,684,858,3,1542
19,988,377,9,611
20,677,376,1,1053
21,22,784,8,-762
22,226,640,1,866
23,641,58,7,583
24,343,542,8,-199
25,815,787,9,28
26,171,457,2,628
27,402,380,5,22
28,234,364,5,-130
29,426,514,3,940
30,679,27,4,706
31,265,182,10,83
32,264,470,5,-206
33,343,421,3,764
34,698,274,6,424
35,886,64,1,950
36,288,32,4,320
37,293,544,4,837
38,116,497,4,613
39,70,673,10,-603
40,129,702,3,831
41,902,255,7,647
42,847,288,3,1135
43,108,373,8,-265
44,934,27,2,961
45,128,888,9,-760
46,882,271,6,611
47,96,867,8,-771
48,608,113,4,721
49,605,527,6,78
50,249,429,7,-180
51,268,602,9,-334
52,721,50,2,771
53,163,258,5,-95
54,608,690,7,-82
55,856,24,2,880
56,495,328,1,823
57,252,417,1,669
58,620,578,7,42
59,479,878,5,-399
60,830,644,4,1474
61,219,883,8,-664
62,322,102,7,220
63,913,130,2,1043
64,969,975,1,1944
65,679,960,10,-281
66,590,552,3,1142
67,171,672,3,843
68,122,447,8,-325
69,84,405,2,489
70,806,37,7,769
71,209,398,2,607
72,333,861,7,-528
73,281,741,2,1022
74,372,514,8,-142
75,761,333,3,1094
76,469,20,7,449
77,884,252,5,632
78,529,574,1,1103
79,865,833,6,32
80,133,728,7,-595
81,740,409,6,331
82,639,929,4,1568
83,943,683,2,1626
84,178,872,2,1050
85,286,798,2,1084
86,108,619,8,-511
87,12,339,10,-327
88,598,541,4,1139
89,907,707,2,1614
90,717,462,9,255
91,853,918,5,-65
92,353,724,5,-371
93,170,445,2,615
94,633,419,1,1052
95,525,407,3,932
96,280,19,2,299
97,452,549,5,-97
98,358,199,9,159
99,809,492,7,317
100,419,315,7,104
101,791,478,7,313
102,711,526,7,185
103,120,969,7,-849
104,12,752,4,764
105,738,251,8,487
106,868,577,1,1445
107,985,548,3,1533
108,361,475,10,-114
109,758,143,9,615
110,105,252,9,-147
111,53,485,9,-432
112,490,190,5,300
113,978,490,9,488
114,829,644,7,185
115,232,319,1,551
116,968,903,2,1871
117,11,177,7,-166
118,664,56,3,720
119,381,266,3,647
120,415,699,6,-284
121,997,559,2,1556
122,890,108,7,782
123,61,690,9,-629
124,964,598,10,366
125,730,70,1,800
126,132,169,4,301
127,835,111,6,724
128,45,984,10,-939
129,183,67,4,250
130,731,730,1,1461
131,795,89,5,706
132,464,421,3,885
133,564,647,9,-83
134,111,871,8,-760
135,486,649,5,-163
136,376,113,2,489
137,759,129,5,630
138,602,916,4,1518
139,681,706,5,-25
140,302,644,4,946
141,121,934,5,-813
142,82,372,1,454
143,712,417,10,295
144,672,448,5,224
145,301,30,10,271
146,627,233,2,860
